brand_name,instagram,website,segment,style_fields,substyles,key_categories,best_for,visual_code,source,status,verified_at
12 STOREEZ,@12storeez,,high,classic; natural,minimalism; quiet_luxury,трикотаж; пальто; брюки; платья,,"лаконичный, статусный",гид-насмотренность,проверить,
2MOOD,@2moodstore,,middle,natural; drama,smart_casual,casual; костюмы; верх,,городской,гид-насмотренность,проверить,
Akhmadullina Dreams,@akhmadullina_dreams,,high,romance; drama,lady_like,платья; принты; выход,,"яркий, женственный",гид-насмотренность,проверить,
Arny Praht,,,high,classic; natural,,пальто; брюки,,минимал-база,brand-matrix,проверить,
Befree,,,low,natural; drama,,деним; casual; тренды,,молодёжный,brand-matrix,проверить,
BOSCO,,,luxury,natural; classic,sport_chic,спорт премиум,,спорт-шик,brand-matrix,проверить,
Brusnika,,,high,classic; natural,,капсула; минимал,,минимал-премиум,brand-matrix,проверить,
Charmstore,@charmstore.club,,middle,romance; natural,,платья; блузы; трикотаж,,женственный,гид-насмотренность,проверить,
Charuel,,,high,classic,,костюмы; деловой элегант,,российские ткани,brand-matrix,проверить,
Ekonika,,,middle,classic; romance,,обувь; сумки,,базовая обувь,brand-matrix,проверить,
Emka,,,middle,classic,,деловой; футляр; размеры 42-56,,офисная классика,brand-matrix,проверить,
GATE31,,,middle,classic; natural,quiet_luxury,скандинавский минимал; база,,без принтов,brand-matrix,проверить,
Gloria Jeans,,,low,natural,,деним; база; трикотаж,,бюджетная база,brand-matrix,проверить,
I AM Studio,@iamstudio,,middle,natural; classic,minimalism,трикотаж; база; платья,,"минимал, база",гид-насмотренность,проверить,
IDOL,,,luxury,classic; drama,,кожа; меринос; кашемир,,классика+характер,brand-matrix,проверить,
Laroom,@laroombrand,,middle,classic; natural,minimalism,база; костюмы,,лаконичный,гид-насмотренность,проверить,
Lichi,,,middle,drama; romance,,трендовые фасоны; обувь,,разнообразие,brand-matrix,проверить,
Lime,,,middle,natural; classic,,город; верх; низ,,цена/качество,brand-matrix,проверить,
Love Republic,,,middle,romance; drama,,платья; кружево; силуэт,,женственность/выход,brand-matrix,проверить,
Lusio,@lusio_official,,middle,romance,lady_like,платья; костюмы; нарядное,,нарядный,гид-насмотренность,проверить,
MasterPeace,@masterpeace.masterpeace,,high,drama; romance,,эффектные фасоны; выход,,эффектный,гид-насмотренность,проверить,
Nina Donis,,,luxury,drama,deconstruction,авангард; показы,,независимый,brand-matrix,проверить,
Nude Line,,,high,natural; classic,,трикотаж; кашемир; меринос,,мягкая база,brand-matrix,проверить,
O'STIN,,,low,natural,,база; casual,,масс-маркет,brand-matrix,проверить,
Perles,,,high,romance; classic,,офис; выход; элегант,,женственный элегант,brand-matrix,проверить,
Present & Simple,@presentandsimple,,middle,natural; classic,smart_casual,база; трикотаж; костюмы,,"простой, чистый",гид-насмотренность,проверить,
Sela,,,low,natural; classic,,база; размерная сетка,,широкий ассортимент,brand-matrix,проверить,
TopTop,,,low,natural; drama,,тренды; обувь; аксессуары,,эклектика,brand-matrix,проверить,
True Red,,,high,classic; romance,,платья; костюмы; блузы,,современная классика,brand-matrix,проверить,
Ulyana Sergeenko,@ulyanasergeenkostore,,luxury,drama; romance,,couture; выход,,"кутюр, русский код",гид-насмотренность,проверить,
Unique Fabric,,,middle,romance; natural,,натуральные ткани; винтаж,,романтика/природа,brand-matrix,проверить,
Ushatava,@ushatava_life,,luxury,classic; natural,minimalism,унисекс; нестандартный крой,,"лаконичный, концептуальный",гид-насмотренность,проверить,
Yanina Couture,@yanina_couture,,luxury,romance; drama,,couture; вечернее,,вечерний кутюр,гид-насмотренность,проверить,
